Week,Python,R,Machine learning,Data science
2018-10-28,82,25,7,4
2018-11-04,81,25,6,4
2018-11-11,85,26,7,5
2018-11-18,79,23,7,4
2018-11-25,84,26,7,5
2018-12-02,84,26,7,4
2018-12-09,80,25,7,5
2018-12-16,75,22,7,4
2018-12-23,54,17,5,4
2018-12-30,56,19,5,4
2019-01-06,76,22,7,5
2019-01-13,77,23,7,5
2019-01-20,79,23,7,5
2019-01-27,84,24,7,5
2019-02-03,82,24,7,5
2019-02-10,86,25,7,5
2019-02-17,88,25,7,5
2019-02-24,87,25,7,5
2019-03-03,86,24,8,5
2019-03-10,87,25,7,5
2019-03-17,86,25,7,5
2019-03-24,89,26,8,5
2019-03-31,88,26,7,5
2019-04-07,89,26,8,5
2019-04-14,84,25,7,5
2019-04-21,82,25,7,5
2019-04-28,79,24,7,5
2019-05-05,82,24,7,5
2019-05-12,87,24,8,5
2019-05-19,84,23,7,6
2019-05-26,84,23,7,5
2019-06-02,85,23,7,6
2019-06-09,87,24,8,6
2019-06-16,91,23,8,6
2019-06-23,90,22,8,6
2019-06-30,86,22,7,5
2019-07-07,91,23,8,6
2019-07-14,91,22,7,6
2019-07-21,88,22,7,6
2019-07-28,86,21,7,6
2019-08-04,87,20,7,6
2019-08-11,82,22,7,6
2019-08-18,91,22,8,6
2019-08-25,88,22,8,6
2019-09-01,90,22,7,6
2019-09-08,97,24,8,6
2019-09-15,100,25,8,7
2019-09-22,100,25,8,6
